full_id,osm_id,osm_type,name:ru,name:en,name,lat,lon
n1521014121,"1521014121",node,,,,53.8016675,86.8596750
n1526233259,"1526233259",node,,,,56.0806979,47.3282880
n1526233327,"1526233327",node,,,,56.0819288,47.3207398
n1526233346,"1526233346",node,,,,56.0820157,47.3207153
n1528929018,"1528929018",node,,,,45.0915735,33.5802021
n1535261069,"1535261069",node,,,,47.2730564,39.6599962
n1540948100,"1540948100",node,,,,60.7832614,46.2611340
n1541334587,"1541334587",node,,,Аэродром,54.3326930,41.5019357
n1554483191,"1554483191",node,,,,67.2360443,54.6520005
n1563377913,"1563377913",node,,,,54.8824210,20.5925362
n1563378037,"1563378037",node,,,,54.8960124,20.5835749
n1598092196,"1598092196",node,,,Ильинский аэродром,56.9597899,39.7824437
n1605029673,"1605029673",node,,,,53.8070841,86.8622554
n1606339883,"1606339883",node,,,,44.7755109,33.5521759
n1608763279,"1608763279",node,,Varzuga,аэродром Варзуга,66.4115873,36.5930913
n1622469893,"1622469893",node,,,Пашшор,66.9733242,54.8552926
n1622469896,"1622469896",node,,,Серчейю-303,67.1430739,54.7626141
n1625008056,"1625008056",node,,,,61.3359090,73.4001745
n1625008058,"1625008058",node,,,,61.3359148,73.3958843
n1630997677,"1630997677",node,,,,61.3396056,73.4072039
n1631221736,"1631221736",node,,,,61.3358974,73.4029775
n1631221746,"1631221746",node,,,,61.3359579,73.4046847
n1631221779,"1631221779",node,,,,61.3363259,73.4057830
n1632576602,"1632576602",node,,,,61.3417010,73.4347267
n1632576618,"1632576618",node,,,,61.3437369,73.3548184
n1632996609,"1632996609",node,,,,55.9640472,37.3815756
n1668101434,"1668101434",node,,,,46.8875818,142.7239746
n1668107140,"1668107140",node,,,,46.8861453,142.7247856
n1685829974,"1685829974",node,,,,69.3888832,86.1778691
n1696572948,"1696572948",node,,,,45.1747054,35.2161773
n1722454060,"1722454060",node,,,,62.0826628,129.7465022
n1738216466,"1738216466",node,,,,66.4131964,112.0226276
n1744679918,"1744679918",node,,,,55.2987120,61.5331887
n1748281027,"1748281027",node,,,,55.9835220,37.4384505
n1749475089,"1749475089",node,,,,61.0240248,69.0933017
n1788488157,"1788488157",node,,,,55.5032210,37.5182800
n1793521394,"1793521394",node,,,,56.2147285,43.8006046
n1793521774,"1793521774",node,,,,56.2168129,43.7993896
n1793522530,"1793522530",node,,,,56.2203239,43.7915990
n1795476798,"1795476798",node,,,Полиция в Аэропорту,53.3906978,58.7614477
n1795476809,"1795476809",node,,,почтовое отделение №33,53.3909709,58.7615803
n1796840340,"1796840340",node,,,,45.0987522,33.5788132
n1812274623,"1812274623",node,,,,54.5599041,36.3655701
n1846140735,"1846140735",node,,,,60.9484063,76.4957197
n1846141410,"1846141410",node,,,,60.9521122,76.4997996
n1855255596,"1855255596",node,,,,57.7897277,28.4060664
n1855255603,"1855255603",node,,,,57.7902285,28.4049402
n1861778895,"1861778895",node,,,,59.6974174,30.3601169
n1861778923,"1861778923",node,,,,59.6986297,30.3619826
n1861797083,"1861797083",node,,,,59.6886224,30.3551329
n1886853581,"1886853581",node,,,,57.9982486,38.8501260
n1889358894,"1889358894",node,,,,53.3907834,58.7616036
n1889358895,"1889358895",node,,,,53.3908753,58.7616457
n1892722205,"1892722205",node,,,,57.9210496,56.0162969
n1914923200,"1914923200",node,,,,53.9617161,105.9061205
n1939502567,"1939502567",node,,,,63.2959271,118.3563398
n1947443997,"1947443997",node,,,,55.9652002,37.4227649
n1954917750,"1954917750",node,,,,55.5952802,37.2399174
n1956487243,"1956487243",node,,,,55.6091505,37.2819229
n1957935860,"1957935860",node,,,,55.5962262,37.2414455
n1961022953,"1961022953",node,,,,54.5449388,36.3656879
n1961022984,"1961022984",node,,,,54.5453507,36.3666793
n1961023023,"1961023023",node,,,,54.5455683,36.3671018
n1961023029,"1961023029",node,,,,54.5455810,36.3671297
n1971376096,"1971376096",node,,,,56.4457839,131.6720442
n1975852835,"1975852835",node,,,,44.1483662,133.2696944
n1984434196,"1984434196",node,,,,55.4271437,37.8778834
n1984434270,"1984434270",node,,,,55.4294901,37.8626398
n1994400005,"1994400005",node,,Gavrilovskoye,Аэродром Гавриловское,54.4354938,41.8326374
n2008725275,"2008725275",node,,,,60.0921483,30.1782300
n2008725311,"2008725311",node,,,,60.0926044,30.1833872
n2008725329,"2008725329",node,,,,60.0929512,30.1835912
n2008725354,"2008725354",node,,,,60.0932163,30.1921598
n2036049356,"2036049356",node,,,,55.9795439,37.3979117
n2041975290,"2041975290",node,,,Герасимовка,58.6003599,71.9074945
n2044099690,"2044099690",node,,,Ныроб,60.7392831,56.6962375
n2051031583,"2051031583",node,,,,55.9589434,93.0084587
n2052369211,"2052369211",node,,,,53.2126110,34.1839821
n2052369279,"2052369279",node,,,,53.2137410,34.1827730
n2057252640,"2057252640",node,,,,64.5950156,40.7088384
n2057272718,"2057272718",node,,,,64.5955166,40.6974097
n2058770522,"2058770522",node,,,,67.4355267,86.6203224
n2066282290,"2066282290",node,,Maslenka,,56.1925347,40.3155193
n2066282584,"2066282584",node,,,Аэродром Вышеславское,56.3681201,40.2666351
n2086906287,"2086906287",node,,Nebyloye Airfield,Аэродром Небылое,56.4017200,39.9586183
n2086909337,"2086909337",node,,Yur'yev-Pol'skiy,,56.4890744,39.7401254
n2102076290,"2102076290",node,,,,59.2837844,39.9346171
n2124737590,"2124737590",node,,,,61.3382832,73.4059978
n2126664024,"2126664024",node,,,,60.1186230,64.8243834
n2135879203,"2135879203",node,Аэродром Балтаси,Baltasi aerodrome,Аэродром Балтаси,56.3705819,50.2115315
n2137528122,"2137528122",node,,,,63.6983993,66.6949118
n2144918942,"2144918942",node,,Sukhovka,Суховка,56.0506239,40.7586105
n2144919031,"2144919031",node,,Paustovo,Паустово,56.1352733,42.1731307
n2144919034,"2144919034",node,,Gorohovets Airstrip,,56.1810002,42.6681407
n2144919064,"2144919064",node,,Vyazniki North,,56.2001831,42.1891496
n2144919316,"2144919316",node,,Dobrograd Airfield,Аэродром Доброград,56.2385733,41.2394281
n2144919702,"2144919702",node,,,Аэродром Крапивье,56.3973299,40.3366921
n2144919718,"2144919718",node,,Kamenovo,Каменово,56.4094186,40.9778260
n2144919730,"2144919730",node,,Kovrov,,56.4582672,41.2929096
n2151426012,"2151426012",node,,,,60.1167388,64.8229233
n2151433278,"2151433278",node,,,,60.1202109,64.8250047
n2152798613,"2152798613",node,,,,60.1242029,64.8313392
n2160481964,"2160481964",node,,,,63.6969948,66.6927527
n2161392926,"2161392926",node,,,,63.6807804,66.7043598
n2166567336,"2166567336",node,,,,60.0937962,64.8189869
n2178317188,"2178317188",node,,,,43.4414617,39.9224376
n2180360897,"2180360897",node,,,,43.4402898,39.9211534
n2195687818,"2195687818",node,,,,52.3806968,140.4462636
n2200286475,"2200286475",node,,,,43.4357104,39.9301467
n2246496754,"2246496754",node,,,,60.7268686,47.5815931
n2252557978,"2252557978",node,,,,55.4169912,37.8900835
n2252698945,"2252698945",node,,,,55.4240146,37.8816044
n2252698946,"2252698946",node,,,,55.4240645,37.8815380
n2268854036,"2268854036",node,,,,55.5935598,49.3099987
n2271330604,"2271330604",node,,,,56.7504126,60.8150353
n2279062052,"2279062052",node,,,,55.5889119,37.2748598
n2279062057,"2279062057",node,,,,55.5889801,37.2751421
n2279062146,"2279062146",node,,,,55.5917766,37.2864577
n2279062156,"2279062156",node,,,,55.5937151,37.2938284
n2279821442,"2279821442",node,,,,44.2127633,43.0967167
n2279821600,"2279821600",node,,,,44.2153471,43.0902884
n2279821672,"2279821672",node,,,,44.2158446,43.0802777
n2280603000,"2280603000",node,,,,55.9704897,37.4435668
n2280603008,"2280603008",node,,,,55.9705528,37.4437203
n2283929584,"2283929584",node,,,,45.6934226,34.3990077
n2283929730,"2283929730",node,,,,45.6880299,34.4041936
n2284047148,"2284047148",node,,,,55.6114456,37.2709928
n2285627187,"2285627187",node,,,,55.6095721,37.2665461
n2285627194,"2285627194",node,,,,55.6105661,37.2692190
n2287935494,"2287935494",node,,,,54.5727586,55.8748998
n2287935947,"2287935947",node,,,,54.5758836,55.8487839
n2287936042,"2287936042",node,,,,54.5514364,55.9013155
n2288356480,"2288356480",node,,,,55.6074883,49.3015724
n2288356484,"2288356484",node,,,,55.6078572,49.3006317
n2290295203,"2290295203",node,,,,56.1184024,40.3136190
n2292271789,"2292271789",node,,,,50.2624677,85.7102010
n2299607151,"2299607151",node,,,Пара-Дельтадром Солоновка,51.9736480,84.5913787
n2311700815,"2311700815",node,,Troyitskaya,,45.1046255,38.1114341
n2331625426,"2331625426",node,,Gavrilov Posad,,56.5797552,40.0725262
n2331865001,"2331865001",node,,,,54.3533580,41.9726609
n2331865008,"2331865008",node,,,,54.3537777,41.9723179
n2345288024,"2345288024",node,,,,56.0849512,47.3165307
n2345296869,"2345296869",node,,,,56.0885192,47.3274185
n2345298852,"2345298852",node,,,,56.0831489,47.3184673
n2345458157,"2345458157",node,,Trotsa,,56.6998380,43.1902707
n2351260996,"2351260996",node,Аэродром Весь,Suzdal Airport,Аэродром Весь,56.4916401,40.3821003
n2352152394,"2352152394",node,,Marochkovo,,55.9068510,39.2346370
n2373276684,"2373276684",node,,Munoch',,55.1956779,40.3372953
n2377532640,"2377532640",node,,,,63.5683215,126.5109595
n2381172411,"2381172411",node,,,,55.5653130,52.1102772
